horizon,model,date,equity
t+1,mohamed_v3,2022-03-16,10480.014843758197
t+1,mohamed_v3,2022-03-17,10606.888396998522
t+1,mohamed_v3,2022-03-18,10823.989876019954
t+1,mohamed_v3,2022-03-21,10818.577881081945
t+1,mohamed_v3,2022-03-22,10818.577881081945
t+1,mohamed_v3,2022-03-23,10818.577881081945
t+1,mohamed_v3,2022-03-24,10818.577881081945
t+1,mohamed_v3,2022-03-25,10818.577881081945
t+1,mohamed_v3,2022-03-28,10818.577881081945
t+1,mohamed_v3,2022-03-29,10818.577881081945
t+1,mohamed_v3,2022-03-30,10818.577881081945
t+1,mohamed_v3,2022-03-31,10679.142095638666
t+1,mohamed_v3,2022-04-01,10658.817071918616
t+1,mohamed_v3,2022-04-04,10878.267084708657
t+1,mohamed_v3,2022-04-05,10636.724719837082
t+1,mohamed_v3,2022-04-06,10405.786259734256
t+1,mohamed_v3,2022-04-07,10430.529571408513
t+1,mohamed_v3,2022-04-08,10284.719779847446
t+1,mohamed_v3,2022-04-11,10041.410105941906
t+1,mohamed_v3,2022-04-12,9998.992743829545
t+1,mohamed_v3,2022-04-13,10202.242082561956
t+1,mohamed_v3,2022-04-14,9968.946598474105
t+1,mohamed_v3,2022-04-18,9976.605563457226
t+1,mohamed_v3,2022-04-19,10199.591118013785
t+1,mohamed_v3,2022-04-20,10050.835500828378
t+1,mohamed_v3,2022-04-21,9842.873027714419
t+1,mohamed_v3,2022-04-22,9585.12907084419
t+1,mohamed_v3,2022-04-25,9708.256822725949
t+1,mohamed_v3,2022-04-26,9341.819402643194
t+1,mohamed_v3,2022-04-27,9330.62580693657
t+1,mohamed_v3,2022-04-28,9662.010899946514
t+1,mohamed_v3,2022-04-29,9227.233385932062
t+1,mohamed_v3,2022-05-02,9381.290952342004
t+1,mohamed_v3,2022-05-03,9391.306038316756
t+1,mohamed_v3,2022-05-04,9708.84653505054
t+1,mohamed_v3,2022-05-05,9219.8692588511
t+1,mohamed_v3,2022-05-06,9109.40756626069
t+1,mohamed_v3,2022-05-09,8752.984322327986
t+1,mohamed_v3,2022-05-10,8859.32258094169
t+1,mohamed_v3,2022-05-11,8596.570638488183
t+1,mohamed_v3,2022-05-12,8576.24561476632
t+1,mohamed_v3,2022-05-13,8894.080989728966
t+1,mohamed_v3,2022-05-16,8790.983413976284
t+1,mohamed_v3,2022-05-17,9018.682105971504
t+1,mohamed_v3,2022-05-18,8575.951693241526
t+1,mohamed_v3,2022-05-19,8529.998802409385
t+1,mohamed_v3,2022-05-20,8503.488176554314
t+1,mohamed_v3,2022-05-23,8644.879687211152
t+1,mohamed_v3,2022-05-24,8461.070811419753
t+1,mohamed_v3,2022-05-25,8579.486319824835
t+1,mohamed_v3,2022-05-26,8817.199196270207
t+1,mohamed_v3,2022-05-27,9104.989316897243
t+1,mohamed_v3,2022-05-31,9080.834811021801
t+1,mohamed_v3,2022-06-01,9076.29439361629
t+1,mohamed_v3,2022-06-02,9076.29439361629
t+1,mohamed_v3,2022-06-03,9076.29439361629
t+1,mohamed_v3,2022-06-06,9076.29439361629
t+1,mohamed_v3,2022-06-07,9076.29439361629
t+1,mohamed_v3,2022-06-08,9076.29439361629
t+1,mohamed_v3,2022-06-09,9076.29439361629
t+1,mohamed_v3,2022-06-10,9076.29439361629
t+1,mohamed_v3,2022-06-13,8649.953095523808
t+1,mohamed_v3,2022-06-14,8665.656869619963
t+1,mohamed_v3,2022-06-15,8882.05438727682
t+1,mohamed_v3,2022-06-16,8523.695113504957
t+1,mohamed_v3,2022-06-17,8627.339637489633
t+1,mohamed_v3,2022-06-21,8828.033373433958
t+1,mohamed_v3,2022-06-22,8815.157122132845
t+1,mohamed_v3,2022-06-23,8946.440444511567
t+1,mohamed_v3,2022-06-24,9252.977465023272
t+1,mohamed_v3,2022-06-27,9185.1380041565
t+1,mohamed_v3,2022-06-28,8905.296630007337
t+1,mohamed_v3,2022-06-29,8913.461941037638
t+1,mohamed_v3,2022-06-30,8802.907715092582
t+1,mohamed_v3,2022-07-01,8861.011873895462
t+1,mohamed_v3,2022-07-05,9012.709904711688
t+1,mohamed_v3,2022-07-06,9008.203549759333
t+1,mohamed_v3,2022-07-07,9196.369366850122
t+1,mohamed_v3,2022-07-08,9191.771182166698
t+1,mohamed_v3,2022-07-11,8990.896122671355
t+1,mohamed_v3,2022-07-12,8986.400674610019
t+1,mohamed_v3,2022-07-13,8963.394013829458
t+1,mohamed_v3,2022-07-14,8958.912316822543
t+1,mohamed_v3,2022-07-15,8958.912316822543
t+1,mohamed_v3,2022-07-18,8878.654397969594
t+1,mohamed_v3,2022-07-19,8874.21507077061
t+1,mohamed_v3,2022-07-20,8874.21507077061
t+1,mohamed_v3,2022-07-21,8874.21507077061
t+1,mohamed_v3,2022-07-22,8874.21507077061
t+1,mohamed_v3,2022-07-25,8819.259635301221
t+1,mohamed_v3,2022-07-26,8814.850005483571
t+1,mohamed_v3,2022-07-27,9182.769672732062
t+1,mohamed_v3,2022-07-28,9178.178287895696
t+1,mohamed_v3,2022-07-29,9340.88762335275
t+1,mohamed_v3,2022-08-01,9335.261580209275
t+1,mohamed_v3,2022-08-02,9307.427758790831
t+1,mohamed_v3,2022-08-03,9560.89337550248
t+1,mohamed_v3,2022-08-04,9605.604420200369
t+1,mohamed_v3,2022-08-05,9527.137114035997
t+1,mohamed_v3,2022-08-08,9496.342073581558
t+1,mohamed_v3,2022-08-09,9388.85628276423
t+1,mohamed_v3,2022-08-10,9650.908247811723
t+1,mohamed_v3,2022-08-11,9646.082793687818
t+1,mohamed_v3,2022-08-12,9646.082793687818
t+1,mohamed_v3,2022-08-15,9646.082793687818
t+1,mohamed_v3,2022-08-16,9646.082793687818
t+1,mohamed_v3,2022-08-17,9646.082793687818
t+1,mohamed_v3,2022-08-18,9646.082793687818
t+1,mohamed_v3,2022-08-19,9646.082793687818
t+1,mohamed_v3,2022-08-22,9646.082793687818
t+1,mohamed_v3,2022-08-23,9633.286322061434
t+1,mohamed_v3,2022-08-24,9661.195667798165
t+1,mohamed_v3,2022-08-25,9832.024003446271
t+1,mohamed_v3,2022-08-26,9429.027409232793
t+1,mohamed_v3,2022-08-29,9336.098896756423
t+1,mohamed_v3,2022-08-30,9232.128881905068
t+1,mohamed_v3,2022-08-31,9178.457278095291
t+1,mohamed_v3,2022-09-01,9182.444461283687
t+1,mohamed_v3,2022-09-02,9052.713128446076
t+1,mohamed_v3,2022-09-06,8987.693029392613
